,trial,crop,planting_date_avg,New edited date,planting_date_min,planting_date_min-edited,planting_date_max,planting_date_max-edited
1,2017_amh_achefer_fingermillet,fingermillet,09/10/2009,16/06/2017,09/10/2009,16/06/2017,09/10/2009,16/06/2017
2,2017_amh_bdu_habru_sorghum,sorghum,11/11/2009,18/07/2017,02/11/2009,09/07/2017,19/11/2009,26/07/2017
3,2017_amh_dejen_tef,teff,02/12/2009,08/08/2017,15/11/2009,22/07/2017,25/12/2009,31/08/2017
4,2017_amh_dera_fingermillet,fingermillet,10/10/2009,17/06/2017,03/10/2009,10/06/2017,09/11/2009,16/07/2017
5,2017_amh_faggeta_fingermillet,fingermillet,09/11/2009,16/07/2017,09/11/2009,16/07/2017,11/11/2009,18/07/2017
6,2017_amh_faggeta_tef,teff,09/11/2009,16/07/2017,09/11/2009,16/07/2017,11/11/2009,18/07/2017
7,2017_amh_habru_sorghum,sorghum,11/11/2009,18/07/2017,02/11/2009,09/07/2017,19/11/2009,26/07/2017
8,2017_amh_meket_wheat,breadwheat,30/10/2009,07/07/2017,03/10/2009,10/06/2017,30/11/2009,06/08/2017
9,2017_amh_meket_wheat,durumwheat,30/10/2009,07/07/2017,03/10/2009,10/06/2017,30/11/2009,06/08/2017
10,2017_amh_meket_wheat,wheat,30/10/2009,07/07/2017,03/10/2009,10/06/2017,30/11/2009,06/08/2017
11,2017_oe_fedis_sorghum,sorghum,18/11/2009,25/07/2017,15/11/2009,22/07/2017,21/11/2009,28/07/2017
12,2017_osw_bosat_2kebele_sorghum,sorghum,13/07/2017,13/07/2017,06/06/2017,06/06/2017,30/07/2017,30/07/2017
13,2017_osw_bosat_haricotbean,commonbean,07/07/2017,07/07/2017,12/06/2017,12/06/2017,29/07/2017,29/07/2017
14,2017_osw_bosat_haricotbean,haricotbean,07/07/2017,07/07/2017,12/06/2017,12/06/2017,29/07/2017,29/07/2017
15,2017_osw_dugda_foodbarley,barley,08/07/2017,08/07/2017,21/06/2017,21/06/2017,12/08/2017,12/08/2017
16,2017_osw_goro_haricotbean,haricotbean,24/07/2017,24/07/2017,24/07/2017,24/07/2017,24/07/2017,24/07/2017
17,2017_osw_goro_haricotbean,commonbean,24/07/2017,24/07/2017,24/07/2017,24/07/2017,24/07/2017,24/07/2017
18,2017_osw_lume_dugda_sire_fababean,fababean,15/07/2017,15/07/2017,11/07/2017,11/07/2017,24/07/2017,24/07/2017
19,2017_osw_sire_foodbarley,barley,21/05/2017,21/05/2017,04/05/2017,04/05/2017,24/05/2017,24/05/2017
20,2017_osw_tole_chickpea,chickpea,06/08/2017,06/08/2017,01/08/2017,01/08/2017,24/08/2017,24/08/2017
21,2017_snnpr_chena_fababean,fababean,02/09/2017,02/09/2017,13/08/2017,13/08/2017,12/09/2017,12/09/2017
22,2017_snnpr_dalochahumbo_tef,teff,09/07/2017,07/09/2017,04/08/2017,04/08/2017,08/09/2017,08/09/2017
23,2017_snnpr_derashe_sorghum,sorghum,17/05/2017,17/05/2017,01/05/2017,01/05/2017,19/05/2017,19/05/2017
24,2017_snnpr_kedidagamela_haricotbean,commonbean,12/08/2009,20/04/2017,04/08/2009,12/04/2017,22/08/2009,30/04/2017
25,2017_snnpr_kedidagamela_haricotbean,haricotbean,12/08/2009,20/04/2017,04/08/2009,12/04/2017,22/08/2009,30/04/2017
26,2017_tigray_adwa_wheat,breadwheat,16/07/2017,16/07/2017,13/07/2017,13/07/2017,20/07/2017,20/07/2017
27,2017_tigray_adwa_wheat,wheat,16/07/2017,16/07/2017,13/07/2017,13/07/2017,20/07/2017,20/07/2017
28,2018_amh_achefer_haricotbean,commonbean,21/10/2010,28/06/2018,04/10/2010,11/06/2018,20/11/2010,27/07/2018
29,2018_amh_achefer_haricotbean,haricotbean,21/10/2010,28/06/2018,04/10/2010,11/06/2018,20/11/2010,27/07/2018
30,2018_amh_dabat_wheat,breadwheat,14/11/2010,21/07/2018,27/06/2018,27/06/2018,28/07/2018,28/07/2018
31,2018_amh_dabat_wheat,wheat,14/11/2010,21/07/2018,27/06/2018,27/06/2018,28/07/2018,28/07/2018
32,2018_amh_dejen_fababean,fababean,08/07/2018,08/07/2018,01/07/2018,01/07/2018,11/07/2018,11/07/2018
33,2018_amh_dera_fingermillet,fingermillet,18/10/2010,25/06/2018,15/09/2010,23/05/2018,11/11/2010,18/07/2018
34,2018_amh_fagita_tef,teff,24/10/2010,01/07/2018,15/10/2010,22/06/2018,28/10/2010,05/07/2018
35,2018_amh_gonchasiso_teff,teff,23/07/2018,23/07/2018,05/07/2018,05/07/2018,24/07/2018,24/07/2018
36,2018_amh_gonchasiso_wheat,breadwheat,23/07/2018,23/07/2018,12/07/2018,12/07/2018,29/07/2018,29/07/2018
37,2018_amh_habru_sorghum,sorghum,26/11/2010,02/08/2018,03/11/2010,10/07/2018,30/11/2010,06/08/2018
38,2018_amh_habru_tef,teff,20/07/2018,20/07/2018,10/07/2018,10/07/2018,01/08/2018,01/08/2018
39,2018_amh_meket_wheat2,breadwheat,10/07/2018,10/07/2018,03/07/2018,03/07/2018,30/07/2018,30/07/2018
40,2018_amh_meket_wheat2,wheat,10/07/2018,10/07/2018,03/07/2018,03/07/2018,30/07/2018,30/07/2018
41,2018_amh_northachefer_tef,teff,22/11/2010,29/07/2018,02/11/2010,09/07/2018,25/12/2010,31/08/2018
42,2018_amhara_bdu_fieldpea,fieldpea,13/07/2018,13/07/2018,08/07/2018,08/07/2018,15/07/2018,15/07/2018
43,2018_oe_chiro_haricotbean,haricotbean,15/11/2010,22/07/2018,03/11/2010,10/07/2018,01/12/2010,07/08/2018
44,2018_oe_chiro_haricotbean,commonbean,15/11/2010,22/07/2018,03/11/2010,10/07/2018,01/12/2010,07/08/2018
45,2018_oe_chiro_maize,maize,22/10/2010,29/06/2018,02/10/2010,09/06/2018,21/11/2010,28/07/2018
46,2018_oe_doba_chickpea,chickpea,17/12/2010,23/08/2018,04/12/2010,10/08/2018,30/12/2010,05/09/2018
47,2018_oe_doba_maize,maize,26/10/2010,03/07/2018,03/10/2010,10/06/2018,29/11/2010,05/08/2018
48,2018_oe_doba_wheat,breadwheat,23/11/2010,30/07/2018,12/11/2010,19/07/2018,29/11/2010,05/08/2018
49,2018_oe_doba_wheat,wheat,23/11/2010,30/07/2018,12/11/2010,19/07/2018,29/11/2010,05/08/2018
50,2018_oe_fedis_durumwheat,durumwheat,18/11/2010,28/08/2018,03/01/2011,07/08/2018,16/12/2015,18/09/2018
51,2018_oe_girawa_tef,teff,20/12/2010,26/08/2018,04/12/2010,10/08/2018,05/01/2011,15/09/2018
52,2018_oe_grawa_haricotbean,haricotbean,15/12/2010,21/08/2018,13/12/2010,19/08/2018,26/12/2010,01/09/2018
53,2018_oe_grawa_haricotbean,commonbean,15/12/2010,21/08/2018,13/12/2010,19/08/2018,26/12/2010,01/09/2018
54,2018_oe_grawa_wheat,breadwheat,06/12/2010,12/08/2018,16/11/2010,23/07/2018,27/12/2010,02/09/2018
55,2018_oe_jarso_wheat,breadwheat,10/11/2010,17/07/2018,10/10/2010,17/06/2018,16/11/2010,23/07/2018
56,2018_oe_jarso_wheat,wheat,10/11/2010,17/07/2018,10/10/2010,17/06/2018,16/11/2010,23/07/2018
57,2018_oe_meta_hakabas_maize,maize,13/10/2010,20/06/2018,02/10/2010,09/06/2018,26/11/2010,02/08/2018
58,2018_oe_meta_haqabas_maize,maize,14/10/2010,21/06/2018,02/10/2010,09/06/2018,26/11/2010,02/08/2018
59,2018_oe_meta_haricotbean,commonbean,14/10/2010,21/06/2018,01/10/2010,08/06/2018,12/11/2010,19/07/2018
60,2018_oe_meta_haricotbean,haricotbean,14/10/2010,21/06/2018,01/10/2010,08/06/2018,12/11/2010,19/07/2018
61,2018_oe_meta_walensu_maize,maize,24/10/2010,01/07/2018,20/10/2010,27/06/2018,29/10/2010,06/07/2018
62,2018_oe_oda_bultum_chickpea,chickpea,24/10/2010,01/07/2018,13/10/2010,20/06/2018,29/10/2010,06/07/2018
63,2018_orosw_bojichekorsa_haricotbean,commonbean,11/08/2018,11/08/2018,09/08/2018,09/08/2018,16/08/2018,16/08/2018
64,2018_orosw_bojichekorsa_haricotbean,haricotbean,11/08/2018,11/08/2018,09/08/2018,09/08/2018,16/08/2018,16/08/2018
65,2018_orosw_bojichekorsa_tef,teff,18/08/2018,18/08/2018,18/08/2018,18/08/2018,18/08/2018,18/08/2018
66,2018_orosw_bojisayo_fingermillet,fingermillet,19/08/2018,19/08/2018,11/08/2018,11/08/2018,05/09/2018,05/09/2018
67,2018_orosw_bore_wheat,breadwheat,NaN,,Inf,Inf,#NAME?,
68,2018_orosw_boset_tef,teff,17/07/2018,17/07/2018,14/06/2018,14/06/2018,29/07/2018,29/07/2018
69,2018_orosw_dugda_chickpea,chickpea,07/08/2018,07/08/2018,03/07/2018,03/07/2018,30/08/2018,30/08/2018
70,2018_orosw_dugda_foodbarley,barley,21/06/2018,21/06/2018,20/03/2018,20/06/2018,24/07/2018,24/07/2018
71,2018_orosw_goro_chickpea,chickpea,13/08/2018,13/08/2018,03/07/2018,03/07/2018,30/08/2018,30/08/2018
72,2018_orosw_gorobale_blackcumin,blackcumin,18/09/2018,18/09/2018,08/09/2018,08/09/2018,27/09/2018,27/09/2018
73,2018_orosw_gorobale_chickpea,chickpea,19/09/2018,19/09/2018,17/09/2018,17/09/2018,23/09/2018,23/09/2018
74,2018_orosw_gorobale_tef,teff,28/09/2018,28/09/2018,10/09/2018,10/09/2018,23/10/2018,23/10/2018
75,2018_orosw_lome_fababean,fababean,27/06/2018,27/06/2018,20/06/2011,20/06/2018,24/07/2018,24/07/2018
76,2018_orosw_sayo_breadwheat,breadwheat,03/09/2018,03/09/2018,05/08/2018,05/08/2018,09/09/2018,09/09/2018
77,2018_orosw_sayo_foodbarley,barley,18/09/2018,18/09/2018,18/09/2018,18/09/2018,18/09/2018,18/09/2018
78,2018_orosw_sinana_fababean,fababean,19/08/2018,19/08/2018,03/08/2018,03/08/2018,30/08/2018,30/08/2018
79,2018_orosw_sinana_fieldpea,fieldpea,23/08/2018,23/08/2018,14/08/2018,14/08/2018,30/08/2018,30/08/2018
80,2018_orosw_sinana_foodbarley,barley,04/08/2018,04/08/2018,15/07/2018,15/07/2018,28/08/2018,28/08/2018
81,2018_orosw_sire_barley,barley,23/06/2018,23/06/2018,20/06/2011,20/06/2018,24/07/2018,24/07/2018
82,2018_orosw_tole_fababean,fababean,10/06/2018,10/06/2018,11/02/2018,01/06/2018,30/06/2018,30/06/2018
83,2018_orosw_tole_lentil,lentil,13/09/2018,13/09/2018,04/09/2018,04/09/2018,20/09/2018,20/09/2018
84,2018_osw_boset_haricotbean,commonbean,22/06/2018,22/06/2018,01/06/2011,01/06/2018,30/06/2018,30/06/2018
85,2018_osw_boset_haricotbean,haricotbean,22/03/2018,22/06/2018,01/06/2011,01/06/2018,30/06/2018,30/06/2018
86,2018_osw_boset_sorghum,sorghum,21/06/2018,21/06/2018,07/05/2018,07/05/2018,31/07/2018,31/07/2018
87,2018_snnp_chena_barley,barley,10/12/2010,16/08/2018,08/12/2010,14/08/2018,13/12/2010,19/08/2018
88,2018_snnp_dalocha_wheat,breadwheat,04/12/2010,10/08/2018,26/11/2010,02/08/2018,06/12/2010,12/08/2018
89,2018_snnp_damotgale_adedamot_hbean,commonbean,22/12/2010,28/08/2018,13/12/2010,19/08/2018,29/12/2010,04/09/2018
90,2018_snnp_damotgale_adedamot_hbean,haricotbean,22/12/2010,28/08/2018,13/12/2010,19/08/2018,29/12/2010,04/09/2018
91,2018_snnp_damotgale_adekoyisha_haricotbean,commonbean,22/12/2010,28/08/2018,14/12/2010,20/08/2018,29/12/2010,04/09/2018
92,2018_snnp_damotgale_adekoyisha_haricotbean,haricotbean,22/12/2010,28/08/2018,14/12/2010,20/08/2018,29/12/2010,04/09/2018
93,2018_snnp_damotgale_buge_tef,teff,21/12/2010,27/08/2018,17/12/2010,23/08/2018,30/12/2010,05/09/2018
94,2018_snnp_damotgale_gacheno_tef,teff,26/12/2010,01/09/2018,22/12/2010,28/08/2018,03/01/2011,13/09/2018
95,2018_snnp_halaba_fingermillet,fingermillet,09/09/2010,17/05/2018,03/09/2010,11/05/2018,14/09/2010,22/05/2018
96,2018_snnp_humbo_haricotbean,haricotbean,17/08/2010,25/04/2018,14/08/2010,22/04/2018,19/08/2010,27/04/2018
97,2018_snnp_lemo_tef,teff,05/12/2010,11/08/2018,30/11/2010,06/08/2018,10/12/2010,16/08/2018
98,2018_snnp_lemo_wheat,breadwheat,26/11/2010,02/08/2018,14/11/2010,21/07/2018,29/11/2010,05/08/2018
99,2018_snnp_lemo_wheat,durumwheat,26/11/2010,02/08/2018,14/11/2010,21/07/2018,29/11/2010,05/08/2018
100,2018_snnp_lemo_wheat,wheat,26/11/2010,02/08/2018,14/11/2010,21/07/2018,29/11/2010,05/08/2018
101,2018_snnpr_chena_fababean,fababean,10/12/2010,16/08/2018,07/12/2010,13/08/2018,13/12/2010,19/08/2018
102,2018_snnpr_derashe_sorghum,sorghum,04/07/2010,13/03/2018,13/06/2010,20/02/2018,21/07/2010,30/03/2018
103,2018_snnpr_kedidagamela_haricotbean,haricotbean,14/07/2010,23/03/2018,06/07/2010,15/03/2018,27/07/2010,05/04/2018
104,2018_snnpr_kedidagamela_haricotbean,commonbean,14/07/2010,23/03/2018,06/07/2010,15/03/2018,27/07/2010,05/04/2018
105,2019_ade_sibaye_tef,teff,23/12/2011,29/08/2019,21/12/2011,27/08/2019,27/12/2011,02/09/2019
106,2019_amh_dabat_barley,barley,05/11/2011,12/07/2019,01/11/2011,08/07/2019,11/11/2011,18/07/2019
107,2019_amh_dabat_fababean,fababean,10/10/2011,17/06/2019,10/10/2011,17/06/2019,10/10/2011,17/06/2019
108,2019_amh_dejen_barley,barley,08/10/2011,15/06/2019,03/10/2011,10/06/2019,11/10/2011,18/06/2019
109,2019_amh_dera_fingermillet2,fingermillet,16/10/2011,23/06/2019,03/10/2011,10/06/2019,26/10/2011,03/07/2019
110,2019_amh_dera_fmillet,fingermillet,16/10/2011,23/06/2019,03/10/2011,10/06/2019,26/10/2011,03/07/2019
111,2019_amh_fagita_fmillet,fingermillet,22/10/2011,29/06/2019,14/10/2011,21/06/2019,01/11/2011,08/07/2019
112,2019_amh_fagita_tef,teff,23/10/2011,30/06/2019,18/10/2011,25/06/2019,28/10/2011,05/07/2019
113,2019_amh_gonchasiso_tef,teff,17/11/2011,24/07/2019,01/11/2011,08/07/2019,30-Nov,06/08/2019
114,2019_amh_gonchasiso_wheat,breadwheat,11/11/2011,18/07/2019,01/11/2011,08/07/2019,25/11/2011,01/08/2019
115,2019_amh_habru_k34_tef,teff,06/08/2019,06/08/2019,05/08/2019,05/08/2019,08/08/2019,08/08/2019
116,2019_amh_harbu_k35_tef,teff,09/08/2019,09/08/2019,01/08/2019,01/08/2019,24/08/2019,24/08/2019
117,2019_amh_meket_barley,barley,NaN,24/06/2019,Inf,20/06/2019,#NAME?,27/06/2019
118,2019_amh_meket_wheat,breadwheat,18/10/2011,25/06/2019,11/10/2011,18/06/2019,28/10/2011,05/07/2019
119,2019_amh_meket_wheat,durumwheat,18/10/2011,25/06/2019,11/10/2011,18/06/2019,28/10/2011,05/07/2019
120,2019_amh_nachefer_ambeshen_tef,teff,NaN,23/07/2019,Inf,09/07/2019,#NAME?,06/08/2019
121,2019_amh_nachefer_libendankura_tef,teff,NaN,27/06/2019,Inf,23/06/2019,#NAME?,27/06/2019
122,2019_amh_nachefer_senkor_tef,teff,07/10/2011,14/06/2019,03/10/2011,10/06/2019,11/11/2011,18/07/2019
123,2019_amh_nachefer_tef,teff,07/10/2011,14/06/2019,02/10/2011,09/06/2019,11/11/2011,18/07/2019
124,2019_amhara_metema_sesame,sesame,08/07/2011,17/03/2019,01/07/2011,10/03/2019,11/07/2011,20/03/2019
125,2019_amhara_metema_soyabean2,soybean,04/11/2011,11/07/2019,01/11/2011,08/07/2019,11/11/2011,18/07/2019
126,2019_amhara_na_senkor_tef,teff,07/11/2011,14/07/2019,03/11/2011,10/07/2019,11/11/2011,18/07/2019
127,2019_dalocha_gk_tef,teff,14/11/2011,21/07/2019,12/11/2011,19/07/2019,18/11/2011,25/07/2019
128,2019_harobulluk_wheat,breadwheat,25/07/2019,25/07/2019,17/07/2019,17/07/2019,04/08/2019,04/08/2019
129,2019_humbo_abella_hbean,haricotbean,17/06/2011,24/02/2019,12/05/2011,20/01/2019,11/08/2011,19/04/2019
130,2019_humbo_abella_hbean,commonbean,17/06/2011,24/02/2019,12/05/2011,20/01/2019,11/08/2011,19/04/2019
131,2019_humbo_koisha_hbean,commonbean,NaN,25/04/2019,Inf,23/04/2019,#NAME?,30/04/2019
132,2019_humbo_koisha_hbean,haricotbean,NaN,25/04/2019,Inf,23/04/2019,#NAME?,30/04/2019
133,2019_kedidagamela_haricotbean,haricotbean,23/08/2011,01/05/2019,11/08/2011,19/04/2019,28/11/2011,04/08/2019
134,2019_kedidagamela_haricotbean,commonbean,23/08/2011,01/05/2019,11/08/2011,19/04/2019,28/11/2011,04/08/2019
135,2019_oe_chiro_haricotbean,haricotbean,08/11/2011,15/07/2019,01/11/2011,08/07/2019,11/12/2011,17/08/2019
